Model,num_init,base_channel,stride_init,tkernel_init,FLOPs (GFLOPs),Params (M)
{'STGCN++'},2,159,1,3,0.2186636,0.200882
{'STGCN++'},1,256,1,3,0.1744118,0.160624
{'STGCN++'},1,256,1,5,0.1744118,0.160624
{'STGCN++'},1,256,1,7,0.1744118,0.160624
{'STGCN++'},1,256,2,3,0.1744118,0.160624
{'STGCN++'},1,256,2,5,0.1744118,0.160624
{'STGCN++'},1,256,2,7,0.1744118,0.160624
{'STGCN++'},1,256,3,3,0.1744118,0.160624
{'STGCN++'},1,256,3,5,0.1744118,0.160624
{'STGCN++'},1,256,3,7,0.1744118,0.160624
{'STGCN++'},2,128,2,7,0.1420911,0.155384
{'STGCN++'},2,128,3,7,0.1335986,0.155384
{'STGCN++'},2,128,2,5,0.1400762,0.15168
{'STGCN++'},2,128,3,5,0.1322133,0.15168
{'STGCN++'},2,128,2,3,0.1380612,0.147976
{'STGCN++'},2,128,3,3,0.130828,0.147976
{'STGCN++'},2,128,1,7,0.1508844,0.138616
{'STGCN++'},2,128,1,5,0.1468544,0.134912
{'STGCN++'},2,128,1,3,0.1428244,0.131208
{'STGCN++'},1,195,1,3,0.1025785,0.09454
{'STGCN++'},1,195,1,5,0.1025785,0.09454
{'STGCN++'},1,195,1,7,0.1025785,0.09454
{'STGCN++'},1,195,2,3,0.1025785,0.09454
{'STGCN++'},1,195,2,5,0.1025785,0.09454
{'STGCN++'},1,195,2,7,0.1025785,0.09454
{'STGCN++'},1,195,3,3,0.1025785,0.09454
{'STGCN++'},1,195,3,5,0.1025785,0.09454
{'STGCN++'},1,195,3,7,0.1025785,0.09454
{'STGCN++'},4,64,2,7,0.0643315,0.09028
{'STGCN++'},4,64,3,7,0.053631,0.09028
{'STGCN++'},4,64,2,5,0.0627126,0.087304
{'STGCN++'},4,64,3,5,0.052518,0.087304
{'STGCN++'},4,64,1,7,0.0938381,0.085992
{'STGCN++'},4,64,2,3,0.0610936,0.084328
{'STGCN++'},4,64,3,3,0.051405,0.084328
{'STGCN++'},4,64,1,5,0.0906002,0.083016
{'STGCN++'},4,64,1,3,0.0873623,0.08004
{'STGCN++'},3,64,2,7,0.0507663,0.065472
{'STGCN++'},3,64,3,7,0.044305,0.065472
{'STGCN++'},1,159,1,3,0.0691158,0.063748
{'STGCN++'},1,159,1,5,0.0691158,0.063748
{'STGCN++'},1,159,1,7,0.0691158,0.063748
{'STGCN++'},1,159,2,3,0.0691158,0.063748
{'STGCN++'},1,159,2,5,0.0691158,0.063748
{'STGCN++'},1,159,2,7,0.0691158,0.063748
{'STGCN++'},1,159,3,3,0.0691158,0.063748
{'STGCN++'},1,159,3,5,0.0691158,0.063748
{'STGCN++'},1,159,3,7,0.0691158,0.063748
{'STGCN++'},3,64,2,5,0.049687,0.063488
{'STGCN++'},3,64,3,5,0.043563,0.063488
{'STGCN++'},3,64,2,3,0.0486077,0.061504
{'STGCN++'},3,64,3,3,0.0428209,0.061504
{'STGCN++'},3,64,1,7,0.0667077,0.061184
{'STGCN++'},3,64,1,5,0.0645491,0.0592
{'STGCN++'},3,64,1,3,0.0623905,0.057216
{'STGCN++'},1,128,1,3,0.0455137,0.042024
{'STGCN++'},1,128,1,5,0.0455137,0.042024
{'STGCN++'},1,128,1,7,0.0455137,0.042024
{'STGCN++'},1,128,2,3,0.0455137,0.042024
{'STGCN++'},1,128,2,5,0.0455137,0.042024
{'STGCN++'},1,128,2,7,0.0455137,0.042024
{'STGCN++'},1,128,3,3,0.0455137,0.042024
{'STGCN++'},1,128,3,5,0.0455137,0.042024
{'STGCN++'},1,128,3,7,0.0455137,0.042024
{'STGCN++'},2,64,2,7,0.0372012,0.040664
{'STGCN++'},2,64,3,7,0.0349789,0.040664
{'STGCN++'},2,64,2,5,0.0366615,0.039672
{'STGCN++'},2,64,3,5,0.0346079,0.039672
{'STGCN++'},2,64,2,3,0.0361219,0.03868
{'STGCN++'},2,64,3,3,0.0342369,0.03868
{'STGCN++'},2,64,1,7,0.0395773,0.036376
{'STGCN++'},2,64,1,5,0.038498,0.035384
{'STGCN++'},2,64,1,3,0.0374188,0.034392
{'STGCN++'},1,64,1,3,0.012447,0.011568
{'STGCN++'},1,64,1,5,0.012447,0.011568
{'STGCN++'},1,64,1,7,0.012447,0.011568
{'STGCN++'},1,64,2,3,0.012447,0.011568
{'STGCN++'},1,64,2,5,0.012447,0.011568
{'STGCN++'},1,64,2,7,0.012447,0.011568
{'STGCN++'},1,64,3,3,0.012447,0.011568
{'STGCN++'},1,64,3,5,0.012447,0.011568
{'STGCN++'},1,64,3,7,0.012447,0.011568
